Назва Установи / Середньорічні показники,Напрям,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,"Сума вагових коєфіцієнтів, I*",Середній бал Експерта,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Попередня атестаційна оцінка,Група
Таврійський національний університет імені В.І. Вернадського,Суспільний,Заклад вищої освіти,Міністерство освіти і науки України,інші області,02070967,Київ,3.0704,6.0333,3.663,10.0767,1,1,10,Г
ІНСТИТУТ ЕКОНОМІКИ ПРОМИСЛОВОСТІ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,Суспільний,Наукова установа,Національна академія наук України,інші області,05420557,Київ,24.1773,7.111,20.764,100,1,1,100,А
Державна наукова установа «Інститут освітньої аналітики»,Суспільний,Наукова установа,Міністерство освіти і науки України,інші області,39817791,Київ,24.2992,5.2777,20.4949,98.704,1,1,99,А
Науково-дослідний центр індустріальних проблем розвитку НАН України,Суспільний,Наукова установа,Національна академія наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",05481984,Харківська область,21.5293,7.111,18.6456,89.7977,1.1,1,99,А
"Державна установа ""Інститут ринку і економіко-екологічних досліджень Національної академії наук України""",Суспільний,Наукова установа,Національна академія наук України,"Дніпропетровська, Одеська, Чернігівська область",01209765,Одеська область,22.1926,6.1907,18.9922,91.467,1.05,1,96,А
ДУ Інститут економіки та прогнозування НАН України,Суспільний,Наукова установа,Національна академія наук України,інші області,25199155,Київ,22.8559,6.1,19.5047,93.9352,1,1,94,А
"Державна установа ""Інститут регіональних досліджень імені М.І. Долішнього Національної академії наук України""",Суспільний,Наукова установа,Національна академія наук України,інші області,05539979,Львівська область,22.3,6.2917,19.0983,91.9779,1,1,92,А
ІНСТИТУТ ЦИФРОВІЗАЦІЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,25761786,Київ,22.2178,6.9447,19.1632,92.2905,1,1,92,А
Інститут соціальної та політичної психології Національної академії педагогічних наук України,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,21600715,Київ,22.0537,6,18.843,90.7484,1,1,91,А
Інститут держави і права імені В.М. Корецького НАН України,Суспільний,Наукова установа,Національна академія наук України,інші області,05417130,Київ,20.5097,6.3667,17.6811,85.1527,1,1,85,А
Інститут географії Національної академії наук України,Суспільний,Наукова установа,Національна академія наук України,інші області,05540402,Київ,21.0619,3.4667,17.5429,84.4871,1,1,84,А
"Державна установа ""Інститут економіко-правових досліджень імені В.К. Мамутова Національної академії наук України""",Суспільний,Наукова установа,Національна академія наук України,інші області,13530946,Донецька область,18.5766,5.8,16.0213,77.159,1,1,77,А
ІНСТИТУТ ВИЩОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,21707620,Київ,18.203,6.1333,15.7891,76.0407,1,1,76,А
ІНСТИТУТ ДЕМОГРАФІЇ ТА ПРОБЛЕМ ЯКОСТІ ЖИТТЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,Суспільний,Наукова установа,Національна академія наук України,інші області,37404013,Київ,18.0288,6.4667,15.7164,75.6906,1,1,76,А
НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР ІНСТИТУТ АГРАРНОЇ ЕКОНОМІКИ,Суспільний,Наукова установа,Національна академія аграрних наук України,інші області,00496805,Київ,17.3997,6.5333,15.2264,73.3308,1,1,73,Б
Інститут педагогічної освіти і освіти дорослих імені Івана Зязюна Національної академії педагогічних наук України,Суспільний,Наукова установа,Національна академія педагогічних наук України,інші області,21593122,Київ,17.2557,4.9443,14.7934,71.2454,1,1,71,Б
