Назва установи / Закладу вищої освіти,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,Напрям,Класифікаційна оцінка,Експертна оцінка,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Атестаційна оцінка,Група,Назва показника,Показник,Індикатор,Нормований індикатор
Інститут садівництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,413297,Київська область,Аграрно-ветеринарний,20.4388,7.0,17.751,67.993,1.0,1.0,68,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",1.0,0.013,1.0
Інститут біології тварин Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,30995014,Львівська область,Аграрно-ветеринарний,19.4269,5.6667,16.6749,63.8711,1.0,1.0,64,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.2,0.003,1.0
"Український ордена ""Знак Пошани"" науково-дослідний інститут лісового господарства та агролісомеліорації імені Г.М. Висоцького Державного агенства лісових ресурсів України та Національної академії наук України",Наукова установа,Національна академія наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",994064,Харківська область,Аграрно-ветеринарний,16.1159,5.111,13.9149,53.2993,1.1,1.038,61,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.4,0.005,1.0
Інститут ветеринарної медицини Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,5510830,Київ,Аграрно-ветеринарний,18.5045,4.3667,15.6769,60.0484,1.0,1.0,60,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.6,0.031,1.0
Інститут рибного господарства Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,4372342,Київ,Аграрно-ветеринарний,17.384,5.7667,15.0605,57.6874,1.0,1.0,58,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",1.6,0.025,1.0
Інститут розведення і генетики тварин імені М.В. Зубця НААН,Наукова установа,Національна академія агрраних наук України,інші області,5408024,Київська область,Аграрно-ветеринарний,17.0899,6.8333,15.0386,57.6035,1.0,1.0,58,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.2,0.003,1.0
Селекційно-генетичний інститут - Національний центр насіннєзнавства та сортовивчення,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",494628,Одеська область,Аграрно-ветеринарний,13.6944,7.0,12.3555,47.3262,1.05,1.13,56,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут кормів та сільського господарства Поділля Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496588,Вінницька область,Аграрно-ветеринарний,17.2563,4.5557,14.7162,56.3686,1.0,1.0,56,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут свинарства і агропромислового виробництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,497006,Полтавська область,Аграрно-ветеринарний,17.0949,4.611,14.5981,55.9162,1.0,1.0,56,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.6,0.016,1.0
Донецька державна сільськогосподарська дослідна станція Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",729333,Донецька область,Аграрно-ветеринарний,13.9359,5.7777,12.3043,47.1301,1.15,1.0,54,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут сільського господарства Степу Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729907,Кіровоградська область,Аграрно-ветеринарний,16.2817,4.6667,13.9587,53.4671,1.0,1.0,53,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Державний науково-дослідний контрольний інститут ветеринарних препаратів та кормових добавок,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,485670,Львівська область,Аграрно-ветеринарний,14.2214,4.3887,12.2549,46.9409,1.0,1.108,52,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.6,0.006,1.0
Інститут луб'яних культур Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497845,Сумська область,Аграрно-ветеринарний,13.7945,5.3333,12.1023,46.3564,1.1,1.016,52,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут овочівництва і баштанництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497124,Харківська область,Аграрно-ветеринарний,13.9342,4.6667,12.0807,46.2736,1.1,1.008,51,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Державна дослідна станція птахівництва Інституту тваринництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",39217680,Харківська область,Аграрно-ветеринарний,13.3755,5.111,11.7226,44.902,1.1,1.0,49,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.4,0.032,1.0
Одеська державна сільськогосподарська дослідна станція Інституту кліматично орієнтованого сільського господарства Національної академії аграрних наук,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",729511,Одеська область,Аграрно-ветеринарний,13.4211,6.6663,12.0701,46.233,1.05,1.0,49,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут картоплярства Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496828,Київська область,Аграрно-ветеринарний,14.4499,6.7333,12.9066,49.4371,1.0,1.0,49,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут сільського господарства Північного Сходу Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",724927,Сумська область,Аграрно-ветеринарний,12.803,5.1667,11.2757,43.1902,1.1,1.0,48,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Прикарпатська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,704273,Івано-Франківська область,Аграрно-ветеринарний,13.2314,4.611,11.5073,44.0773,1.0,1.0,44,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.2,0.006,1.0
Український науково-дослідний інститут гірського лісівництва імені П.С. Пастернака,Наукова установа,"Міністерство захисту довкілля та природних ресурсів України, Державне агентство лісових ресурсів України, Національна академія наук України",інші області,994147,Івано-Франківська область,Аграрно-ветеринарний,13.2634,6.0667,11.8241,45.2907,1.0,1.0,45,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Український інститут експертизи сортів рослин,Наукова установа,Міністерство аграрної політики та продовольства України,інші області,488332,Київ,Аграрно-ветеринарний,12.8743,6.7,11.6394,44.5833,1.0,1.0,45,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Національний науковий центр ""Інститут виноградарства і виноробства імені В.Є. Таїрова""",Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",5431532,Одеська область,Аграрно-ветеринарний,12.4396,4.9,10.9317,41.8725,1.05,1.0,44,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Носівська селекційно-дослідна станція Миронівського інституту пшениці імені В.М. Ремесла Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",14244013,Чернігівська область,Аграрно-ветеринарний,11.2891,5.6667,10.1646,38.9342,1.05,1.0,41,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Державна наукова установа ""Український науково-дослідний інститут прогнозування та випробовування техніки і технологій для сільськогосподарського виробництва імені Леоніда Погорілого""",Наукова установа,Міністерство аграрної політики та продовольства України,інші області,4604309,Київська область,Аграрно-ветеринарний,11.7108,5.0477,10.3782,39.7524,1.0,1.0,40,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Миронівський інститут пшениці імені В.М. Ремесла Національна академія аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,496863,Київська область,Аграрно-ветеринарний,11.6582,5.8667,10.4999,40.2186,1.0,1.0,40,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Тернопільська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії наук України,Наукова установа,Національна академія агрраних наук України,інші області,4766584,Тернопільська область,Аграрно-ветеринарний,10.4025,4.9167,9.3053,35.6428,1.0,1.0,36,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Черкаська дослідна станція біоресурсів Національної академії наук України,Наукова установа,Національна академія агрраних наук України,інші області,1598301,Черкаська область,Аграрно-ветеринарний,10.6514,4.0,9.3211,35.7033,1.0,1.0,36,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут Тваринництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",497199,Харківська область,Аграрно-ветеринарний,9.4894,5.0477,8.6011,32.9454,1.1,1.0,36,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Державний науково-контрольний інститут біотехнології і штамів мікроорганізмів,Наукова установа,Державна служба України з питань безпечності харчових продуктів та захисту споживачів,інші області,19024865,Київ,Аграрно-ветеринарний,9.7087,6.2223,9.0114,34.517,1.0,1.0,35,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Буковинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729868,Чернівецька область,Аграрно-ветеринарний,9.808,4.5833,8.7631,33.566,1.0,1.0,34,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут сільського господарства Полісся Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,5453752,Житомирська область,Аграрно-ветеринарний,9.5156,5.389,8.6903,33.2871,1.0,1.0,33,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Волинська державна сільськогосподарська дослідна станція Інституту сільського господарства Карпатського регіону Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,13368842,Волинська область,Аграрно-ветеринарний,9.7196,3.5,8.4757,32.4651,1.0,1.0,32,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Дослідна станція карантину винограду і плодових культур Інституту захисту рослин Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",495102,Одеська область,Аграрно-ветеринарний,8.536,4.5,7.7288,29.6042,1.05,1.0,31,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут сільського господарства Західного Полісся Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729600,Рівненська область,Аграрно-ветеринарний,9.0122,4.4667,8.1031,31.0379,1.0,1.0,31,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Прилуцька дослідна станція Інституту садівництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,"Дніпропетровська, Одеська, Чернігівська область",495214,Чернігівська область,Аграрно-ветеринарний,7.9895,4.111,7.2138,27.6316,1.05,1.0,29,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Дослідна станція лікарських рослин Інституту агроекології і природокористування Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,482312,Полтавська область,Аграрно-ветеринарний,7.6374,6.3333,7.3766,28.2551,1.0,1.0,28,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Державна установа ""Інститут охорони грунтів України""",Наукова установа,Міністерство аграрної політики та продовольства України,інші області,25835792,Київська область,Аграрно-ветеринарний,7.0989,5.0743,6.694,25.6405,1.0,1.049,27,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Українська науково-дослідна станція карантину рослин Інституту захисту рослин Національної академії аграрних наук,Наукова установа,Національна академія агрраних наук України,інші області,495832,Одеська область,Аграрно-ветеринарний,7.066,6.6667,6.9861,26.7594,1.0,1.0,27,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут аграрних ресурсів та регіонального розвитку Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729391,Івано-Франківська область,Аграрно-ветеринарний,7.4837,4.7037,6.9277,26.5357,1.0,1.0,27,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Інститут тваринництва степових районів імені М.Ф. Іванова ""Асканія-Нова"" - Національний науковий селекційно-генетичний центр вівчарства",Наукова установа,Національна академія агрраних наук України,"тимчасово переміщений НУ / ЗВО, що утримує матеріально-технічну базу за своєю юридичною адресою",497265,Херсонська область,Аграрно-ветеринарний,6.3266,4.875,6.0363,23.1213,1.15,1.0,27,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Верхняцька дослідно-селекційна станція Інституту біоенергетичних культур і цукрових буряків Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,495817,Черкаська область,Аграрно-ветеринарний,7.2253,5.6667,6.9136,26.4817,1.0,1.0,26,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Потавська державна сільськогосподарська дослідна станція імені М.І. Вавилова Інституту свинарства і агропромислового виробництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,729534,Полтавська область,Аграрно-ветеринарний,6.9857,5.1667,6.6219,25.3644,1.0,1.0,25,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Черкаська державна сільськогосподарська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Наукова установа,Національна академія агрраних наук України,інші області,14198402,Черкаська область,Аграрно-ветеринарний,6.7425,4.4167,6.2773,24.0444,1.0,1.0,24,Г,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Дослідна станція помології ім. Л.П. Симиренка Інституту садівництва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,497331,Черкаська область,Аграрно-ветеринарний,5.8953,5.8887,5.894,22.5762,1.0,1.0,23,Г,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Устимівська дослідна станція рослинництва Інституту рослинництва імені В.Я. Юр'єва Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,497012,Полтавська область,Аграрно-ветеринарний,6.0412,6.5,6.133,23.4917,1.0,1.0,23,Г,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Панфильська дослідна станція Національного наукового центру ""Інститут землеробства Національної академії аграрних наук України""",Наукова установа,Національна академія агрраних наук України,інші області,496871,Київська область,Аграрно-ветеринарний,5.2497,5.111,5.222,20.0022,1.0,1.0,20,Г,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Національний науковий центр ""Інститут бджільництва імені П.І. Прокоповича""",Наукова установа,Національна академія агрраних наук України,інші області,3079829,Київ,Аграрно-ветеринарний,4.4513,5.3333,4.6277,17.7258,1.0,1.0,18,Г,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Хмельницька державна сільськогосподарська станція Інституту кормів та сільського господарства Поділля Національної академії аграрних наук України,Наукова установа,Національна академія агрраних наук України,інші області,21321872,Хмельницька область,Аграрно-ветеринарний,3.9514,4.5557,4.0723,15.5984,1.0,1.0,16,Г,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
ІНСТИТУТ ЕКОНОМІКИ ПРОМИСЛОВОСТІ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,Наукова установа,Національна академія наук України,інші області,5420557,Київ,Суспільний,24.1773,7.111,20.764,100.0,1.0,1.0,100,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.8,0.012,1.0
Державна наукова установа «Інститут освітньої аналітики»,Наукова установа,Міністерство освіти і науки України,інші області,39817791,Київ,Суспільний,24.27,5.2777,20.4715,98.5913,1.0,1.0,99,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Науково-дослідний центр індустріальних проблем розвитку НАН України,Наукова установа,Національна академія наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",5481984,Київ,Суспільний,21.5293,7.111,18.6456,89.7977,1.1,1.0,99,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.4,0.013,1.0
"Державна установа ""Інститут ринку і економіко-екологічних досліджень Національної академії наук України""",Наукова установа,Національна академія наук України,"Дніпропетровська, Одеська, Чернігівська область",1209765,Одеська область,Суспільний,22.1926,6.1907,18.9922,91.467,1.05,1.0,96,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.4,0.007,1.0
ДУ Інститут економіки та прогнозування НАН України,Наукова установа,Національна академія наук України,інші області,25199155,Київ,Суспільний,23.0004,6.1,19.6203,94.4919,1.0,1.0,94,А,"Кількість заявок на загальнодержавні гранти Р18, І33",2.8,0.02,1.0
"Державна установа ""Інститут регіональних досліджень імені М.І. Долішнього Національної академії наук України""",Наукова установа,Національна академія наук України,інші області,5539979,Львівська область,Суспільний,22.3,6.2917,19.0983,91.9779,1.0,1.0,92,А,"Кількість заявок на загальнодержавні гранти Р18, І33",1.4,0.021,1.0
ІНСТИТУТ ЦИФРОВІЗАЦІЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія педагогічних наук України,інші області,25761786,Київ,Суспільний,22.1836,6.9447,19.1358,92.1585,1.0,1.0,92,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.6,0.016,1.0
Інститут соціальної та політичної психології Національної академії педагогічних наук України,Наукова установа,Національна академія педагогічних наук України,інші області,21600715,Київ,Суспільний,21.7164,6.0,18.5731,89.4486,1.0,1.0,89,А,"Кількість заявок на загальнодержавні гранти Р18, І33",3.0,0.047,1.0
Інститут держави і права імені В.М. Корецького НАН України,Наукова установа,Національна академія наук України,інші області,5417130,Київ,Суспільний,20.5097,6.3667,17.6811,85.1527,1.0,1.0,85,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут географії Національної академії наук України,Наукова установа,Національна академія наук України,інші області,5540402,Київ,Суспільний,21.0519,3.4667,17.5349,84.4486,1.0,1.0,84,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.6,0.012,1.0
"Державна установа ""Інститут економіко-правових досліджень імені В.К. Мамутова Національної академії наук України""",Наукова установа,Національна академія наук України,інші області,13530946,Донецька область,Суспільний,18.5766,5.8,16.0213,77.159,1.0,1.0,77,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.8,0.023,1.0
ІНСТИТУТ ВИЩОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія педагогічних наук України,інші області,21707620,Київ,Суспільний,18.203,6.1333,15.7891,76.0407,1.0,1.0,76,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
ІНСТИТУТ ДЕМОГРАФІЇ ТА ПРОБЛЕМ ЯКОСТІ ЖИТТЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,Наукова установа,Національна академія наук України,інші області,37404013,Київ,Суспільний,18.0052,6.4667,15.6975,75.5996,1.0,1.0,76,А,"Кількість заявок на загальнодержавні гранти Р18, І33",0.6,0.008,1.0
НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР ІНСТИТУТ АГРАРНОЇ ЕКОНОМІКИ,Наукова установа,Національна академія агрраних наук України,інші області,496805,Київ,Суспільний,17.3677,6.5333,15.2008,73.2075,1.0,1.0,73,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",1.6,0.016,1.0
Інститут педагогічної освіти і освіти дорослих імені Івана Зязюна Національної академії педагогічних наук України,Наукова установа,Національна академія педагогічних наук України,інші області,21593122,Київ,Суспільний,17.2386,4.9443,14.7797,71.1794,1.0,1.0,71,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",1.2,0.029,1.0
Державна науково-технічна бібліотека України,Наукова установа,Міністерство освіти і науки України,інші області,2736372,Київ,Суспільний,15.941,4.7313,13.6991,65.9752,1.0,1.0,66,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут педагогіки Національної академії педагогічних наук України,Наукова установа,Національна академія педагогічних наук України,інші області,2141221,Київ,Суспільний,15.3946,4.0667,13.129,63.2296,1.0,1.0,63,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Державна наукова установа ""Інститут інформації, безпеки і права Національної академії правових наук України""",Наукова установа,Національна академія правових наук України,інші області,25959933,Київська область,Суспільний,13.8708,6.1333,12.3233,59.3494,1.0,1.0,59,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Науково-дослідний інститут вивчення проблем злочинності імені академіка В.В. Сташиса Національної академії правових наук України,Наукова установа,Національна академія правових наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",23464860,Харківська область,Суспільний,12.3072,6.4763,11.141,53.6554,1.1,1.0,59,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",1.8,0.062,1.0
Науково-дослідний інститут правового забезпечення інноваційного розвитку Національної академії правових наук України,Наукова установа,Національна академія правових наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",36988898,Харківська область,Суспільний,12.2583,6.0477,11.0162,53.0543,1.1,1.0,58,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
ІНСТИТУТ ПРОФЕСІЙНОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія педагогічних наук України,інші області,34288275,Київ,Суспільний,13.5087,6.4763,12.1022,58.2845,1.0,1.0,58,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.2,0.007,1.0
Інститут соціології НАН України,Наукова установа,Національна академія наук України,інші області,2030293,Харківська область,Суспільний,12.6707,5.1113,11.1588,53.7411,1.0,1.0,54,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.6,0.01,1.0
УКРАЇНСЬКИЙ НАУКОВО-МЕТОДИЧНИЙ ЦЕНТР ПРАКТИЧНОЇ ПСИХОЛОГІЇ І СОЦІАЛЬНОЇ РОБОТИ,Наукова установа,Національна академія педагогічних наук України,інші області,30022018,Київ,Суспільний,11.9084,7.0,10.9267,52.6233,1.0,1.0,53,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.8,0.068,1.0
Науково-дослідний інститут державного будівництва та місцевого самоврядування Національної академії правових наук України,Наукова установа,Національна академія правових наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",25858474,Харківська область,Суспільний,10.2129,7.0833,9.587,46.1713,1.1,1.0,51,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.2,0.007,1.0
"Національний науковий центр ""Інститут судових експертиз ім. Засл. проф. М.С. Бокаріуса""",Наукова установа,Міністерство юстиції України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",2883133,Харківська область,Суспільний,10.7696,5.2,9.6557,46.5021,1.1,1.0,51,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.8,0.006,1.0
Інститут спеціальної педагогіки і психології імені Миколи Ярмаченко Національної академії педагогічних наук України,Наукова установа,Національна академія педагогічних наук України,інші області,21560861,Київ,Суспільний,11.4569,6.2917,10.4239,50.2018,1.0,1.0,50,Б,"Кількість заявок на загальнодержавні гранти Р18, І33",0.4,0.01,1.0
Інститут правотворчості та науково-правових експертиз Національної академії наук України,Наукова установа,Національна академія наук України,інші області,20063497,Київ,Суспільний,10.2896,7.2857,9.6888,46.6615,1.0,1.0,47,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
"Державна навчально-наукова установа ""Академія фінансового управління""",Наукова установа,Міністерство фінансів України,інші області,35531764,Київ,Суспільний,10.4922,5.381,9.47,45.6078,1.0,1.0,46,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.4,0.008,1.0
Науково-дослідний інститут приватного права і підприємництва імені академіка Ф.Г. Бурчака НАПрН України,Наукова установа,Національна академія правових наук України,інші області,19485263,Київ,Суспільний,10.679,5.0,9.5432,45.9603,1.0,1.0,46,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
Інститут землекористування НААН України,Наукова установа,Національна академія агрраних наук України,інші області,20589035,Київ,Суспільний,9.9041,6.4443,9.2121,44.3657,1.0,1.0,44,В,"Кількість заявок на загальнодержавні гранти Р18, І33",1.2,0.075,1.0
ІНСТИТУТ ПОЛІТИЧНИХ І ЕТНОНАЦІОНАЛЬНИХ ДОСЛІДЖЕНЬ ІМ. І.Ф. КУРАСА НАН УКРАЇНИ,Наукова установа,Національна академія наук України,інші області,16394076,Київ,Суспільний,9.5236,6.111,8.8411,42.579,1.0,1.0,43,В,"Кількість заявок на загальнодержавні гранти Р18, І33",0.0,0.0,0.0
