Назва установи / Закладу вищої освіти,Установа,Підпорядкування,Регіон,ЄДРПОУ,Область,Напрям,Класифікаційна оцінка,Експертна оцінка,Зважена сумарна оцінка (80/20),Нормована зважена сумарна оцінка,Регіональний коєфіцієнт,Коєфіцієнт руйнувань,Атестаційна оцінка,Група,Назва показника,Показник,Індикатор,Нормований індикатор
"Державна установа ""Інститут ринку і економіко-екологічних досліджень Національної академії наук України""",Наукова установа,Національна академія наук України,"Дніпропетровська, Одеська, Чернігівська область",1209765,Одеська область,Суспільний,22.1926,6.1907,18.9922,91.467,1.05,1.0,96,А,"Кількість молодих вчених П6, І3",8.4,0.145,1.0
ДУ Інститут економіки та прогнозування НАН України,Наукова установа,Національна академія наук України,інші області,25199155,Київ,Суспільний,23.0004,6.1,19.6203,94.4919,1.0,1.0,94,А,"Кількість молодих вчених П6, І3",14.2,0.101,0.2082
"Державна установа ""Інститут регіональних досліджень імені М.І. Долішнього Національної академії наук України""",Наукова установа,Національна академія наук України,інші області,5539979,Львівська область,Суспільний,22.3,6.2917,19.0983,91.9779,1.0,1.0,92,А,"Кількість молодих вчених П6, І3",14.6,0.215,1.0
ІНСТИТУТ ЦИФРОВІЗАЦІЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія педагогічних наук України,інші області,25761786,Київ,Суспільний,22.1836,6.9447,19.1358,92.1585,1.0,1.0,92,А,"Кількість молодих вчених П6, І3",8.8,0.239,1.0
Інститут соціальної та політичної психології Національної академії педагогічних наук України,Наукова установа,Національна академія педагогічних наук України,інші області,21600715,Київ,Суспільний,21.7164,6.0,18.5731,89.4486,1.0,1.0,89,А,"Кількість молодих вчених П6, І3",12.0,0.189,1.0
Інститут держави і права імені В.М. Корецького НАН України,Наукова установа,Національна академія наук України,інші області,5417130,Київ,Суспільний,20.5097,6.3667,17.6811,85.1527,1.0,1.0,85,А,"Кількість молодих вчених П6, І3",5.6,0.063,0.1299
Інститут географії Національної академії наук України,Наукова установа,Національна академія наук України,інші області,5540402,Київ,Суспільний,21.0519,3.4667,17.5349,84.4486,1.0,1.0,84,А,"Кількість молодих вчених П6, І3",8.6,0.174,1.0
"Державна установа ""Інститут економіко-правових досліджень імені В.К. Мамутова Національної академії наук України""",Наукова установа,Національна академія наук України,інші області,13530946,Донецька область,Суспільний,18.5766,5.8,16.0213,77.159,1.0,1.0,77,А,"Кількість молодих вчених П6, І3",10.4,0.297,1.0
ІНСТИТУТ ВИЩОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія педагогічних наук України,інші області,21707620,Київ,Суспільний,18.203,6.1333,15.7891,76.0407,1.0,1.0,76,А,"Кількість молодих вчених П6, І3",2.0,0.067,0.1381
ІНСТИТУТ ДЕМОГРАФІЇ ТА ПРОБЛЕМ ЯКОСТІ ЖИТТЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,Наукова установа,Національна академія наук України,інші області,37404013,Київ,Суспільний,18.0052,6.4667,15.6975,75.5996,1.0,1.0,76,А,"Кількість молодих вчених П6, І3",11.6,0.149,1.0
НАЦІОНАЛЬНИЙ НАУКОВИЙ ЦЕНТР ІНСТИТУТ АГРАРНОЇ ЕКОНОМІКИ,Наукова установа,Національна академія агрраних наук України,інші області,496805,Київ,Суспільний,17.3677,6.5333,15.2008,73.2075,1.0,1.0,73,Б,"Кількість молодих вчених П6, І3",10.8,0.109,0.2247
Інститут педагогічної освіти і освіти дорослих імені Івана Зязюна Національної академії педагогічних наук України,Наукова установа,Національна академія педагогічних наук України,інші області,21593122,Київ,Суспільний,17.2386,4.9443,14.7797,71.1794,1.0,1.0,71,Б,"Кількість молодих вчених П6, І3",5.2,0.124,0.2557
Державна науково-технічна бібліотека України,Наукова установа,Міністерство освіти і науки України,інші області,2736372,Київ,Суспільний,15.941,4.7313,13.6991,65.9752,1.0,1.0,66,Б,"Кількість молодих вчених П6, І3",4.6,0.36,1.0
Інститут педагогіки Національної академії педагогічних наук України,Наукова установа,Національна академія педагогічних наук України,інші області,2141221,Київ,Суспільний,15.3946,4.0667,13.129,63.2296,1.0,1.0,63,Б,"Кількість молодих вчених П6, І3",8.6,0.079,0.1629
"Державна наукова установа ""Інститут інформації, безпеки і права Національної академії правових наук України""",Наукова установа,Національна академія правових наук України,інші області,25959933,Київська область,Суспільний,13.8708,6.1333,12.3233,59.3494,1.0,1.0,59,Б,"Кількість молодих вчених П6, І3",1.6,0.065,0.134
Науково-дослідний інститут вивчення проблем злочинності імені академіка В.В. Сташиса Національної академії правових наук України,Наукова установа,Національна академія правових наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",23464860,Харківська область,Суспільний,12.3072,6.4763,11.141,53.6554,1.1,1.0,59,Б,"Кількість молодих вчених П6, І3",8.4,0.29,1.0
Науково-дослідний інститут правового забезпечення інноваційного розвитку Національної академії правових наук України,Наукова установа,Національна академія правових наук України,"Донецька, Запорізька, Луганська, Миколаївська, Сумська, Харківська, Херсонська область",36988898,Харківська область,Суспільний,12.2583,6.0477,11.0162,53.0543,1.1,1.0,58,Б,"Кількість молодих вчених П6, І3",9.4,0.485,1.0
ІНСТИТУТ ПРОФЕСІЙНОЇ ОСВІТИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ ПЕДАГОГІЧНИХ НАУК УКРАЇНИ,Наукова установа,Національна академія педагогічних наук України,інші області,34288275,Київ,Суспільний,13.5087,6.4763,12.1022,58.2845,1.0,1.0,58,Б,"Кількість молодих вчених П6, І3",1.8,0.066,0.1361
